Date,Close,High,Low,Open,Volume
25-01-2023,140.2295685,140.7930095,137.2146199,139.2707157,65799300
26-01-2023,142.3054352,142.5920955,140.2690987,141.5245064,54105100
27-01-2023,144.2527618,145.5378234,141.4355271,141.5146094,70555800
30-01-2023,141.3564606,143.8771557,141.2081906,143.2939404,64015300
31-01-2023,142.6316223,142.6810507,140.6447293,141.0599003,65874500
01-02-2023,143.7585144,144.9249601,139.6957666,142.3153031,77663600
02-02-2023,149.0865936,149.4424416,146.4670417,147.1886474,118339000
03-02-2023,152.7242584,155.571162,146.1309217,146.32862,154357300
06-02-2023,149.9860992,151.3403635,149.047021,150.8164562,69858300
07-02-2023,152.8725281,153.4458637,148.9086223,148.9086223,83322600
08-02-2023,150.1739197,152.8033508,149.4325397,152.1113992,64120100
09-02-2023,149.1359863,152.5562258,148.6911614,152.0125442,56007100
10-02-2023,149.5022888,149.8289959,147.7301671,147.9677763,57450700
13-02-2023,152.3139648,152.7198599,149.4132102,149.4429094,62199000
14-02-2023,151.6704254,152.2347417,149.3537919,150.6012065,61707600
15-02-2023,153.7791443,153.9474451,151.3536088,151.5813082,65573800
16-02-2023,152.1753693,154.7692064,151.8189629,151.977354,68167900
17-02-2023,151.026947,151.4724512,149.3439228,150.8289468,59144100
21-02-2023,146.9975586,149.7894107,146.9282653,148.7003872,58867200
22-02-2023,147.4232788,148.4528888,145.6907509,147.3836697,51011300
23-02-2023,147.908371,148.8389883,145.7699481,148.5914844,48394200
24-02-2023,145.2452545,145.720458,144.2651332,145.6412549,55469600
27-02-2023,146.4431458,147.6806656,145.9778371,146.2352509,44998500
28-02-2023,145.9382324,147.591557,145.3640214,145.5818261,50547000
01-03-2023,143.8592072,145.7600359,143.5621994,145.3640355,55479000
02-03-2023,144.4532471,145.2452629,142.4633051,142.9385237,52238100
03-03-2023,149.5221252,149.6013283,145.8590688,146.5619718,70732300
06-03-2023,152.2941589,154.7394996,151.9278579,152.2545498,87558000
07-03-2023,150.0864258,152.4921573,149.6211171,152.1654502,56182000
08-03-2023,151.34375,151.9377657,150.3141399,151.2843515,47204800
09-03-2023,149.0865021,152.9970622,148.7300957,152.0268507,53833600
10-03-2023,147.017395,149.4330368,146.1362813,148.7103292,68572400
